recordid,forminserted,formupdated,inspector,reportdate,reservation,sitelocation,facility,locationinfonumber,locationtype,itemlocation,latitude,longitude,deficiency,recommendation,additionalnotes,level,image1,image2,image3,completed
21,7/13/16 10:38,9/20/16 17:09,Tammy M. Oliver,7/13/16 0:00,Acacia Reservation,Acacia Reservation,Acacia Golf Clubhouse,11,Bathroom,Men's bathroom by Ballroom,41.501929,-81.490091,"No signage to left of door handle (703); need knee clearance at lavatory 27/8 =24""(606); mirror too high at 41""(603.3); coat hook too high 68""(308); toilet hung too far from side wall at 20""(604.2);",Add signage; provide knee clearance; lower mirror; lower coat hook; re-mount toilet closer to wall,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_20.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_21.jpg,,FALSE
21,7/13/16 10:38,9/20/16 17:09,Tammy M. Oliver,7/13/16 0:00,Acacia Reservation,Acacia Reservation,Acacia Golf Clubhouse,12,Bathroom,Women's restroom by Ballroom,41.501925,-81.489823,"No signage at latch side of door (703); no knee clearance at lavatory 27/8= 24""(606); mirror is 41.5"" too high (603.3); toilet is mounted too far from side wall 19- 1/2"" (604.2)",Add signage; adjust to provide knee clearance; lower mirror; re-mount toilet closer to wall,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_22.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_23.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_24.jpg,FALSE
22,7/13/16 12:55,9/28/16 11:26,Sean E. McDermott,7/13/16 0:00,Rocky River Reservation,Willow Bend Picnic Area,Willow Bend Reserved Picnic Shelter,1,Parking,Parking Lot,41.390554,-81.86906,No signed/marked ADA parking stalls (208.2),"Add 2 ADA parking stalls, striping and signage",Recently paved (asphalt) as of summer 2016,Serious,,,,FALSE
23,7/13/16 13:09,7/13/16 13:15,Kelly B. Coffman,7/13/16 0:00,Big Creek Reservation,Snow Road Picnic Area,Snow Road Picnic Shelter B,1,Parking,Parking and Shelter,41.444753,-81.717247,7 spaceses and no designated ADA parking; trash receptacle placement; 2 - 8' tables and no accessible seat; grill not accessible,"Provide one compliant van parking space and signage; add pad and secure at proper height; switch out one table for an accessible table; extend shelter conc to surround grill and lower grill to 34"" max ht",,Critical,,,,FALSE
25,7/13/16 13:45,9/20/16 10:20,Kelly B. Coffman,7/13/16 0:00,Big Creek Reservation,Snow Road Picnic Area,Snow Road Reserved Picnic Shelter,1,Parking,Creekside Shelter and parking,41.401165,-81.755456,"ADA parking 4"" too narrow; sign too low; no accessible route to the shelter path","restripe parking and aisle to gain 4""; mount sign at 60""; construct accessible connection from pkg to path",,Minor,,,,FALSE
26,7/13/16 14:43,9/20/16 17:08,Tammy M. Oliver,7/13/16 0:00,Acacia Reservation,Acacia Reservation,Acacia Golf Course Restroom and Shelter,3,Bathroom,Exterior mens restroom,41.502093,-81.489182,"No accessible route 6"" step in aisle(402); no accessible signage(703); threshold change in level too high 1-3/4"" (303.2); toilet too low (604.4); pipes not insulated (606); no knee clearance under lavatory 27/8=25"" (606); paper towels too high at 53""; mirror too high 41""; urinal not compliant",Rework to add route; add signage; fix threshold; raise toilet; insulate pipes; provide knee clearance; lower paper towel dispenser; lower mirror; provide new urinal,Provide new facilities or rework existing,Critical,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_33.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_34.jpg,,FALSE
26,7/13/16 14:43,9/20/16 17:08,Tammy M. Oliver,7/13/16 0:00,Acacia Reservation,Acacia Reservation,Acacia Golf Course Restroom and Shelter,4,Bathroom,Women's exterior restroom,41.502085,-81.489203,"No accessible route(402); no accessible signage(703); threshold change in level too high 1-3/4"" (303.2); toilet too low 15-1/2"" (604.4); pipes not insulated (606); no knee clearance under lavatory 28/7=24""(606); paper towels too high 53""""; mirror too high41"";",Rework to add route; add signage; fix threshold; raise toilet; insulate pipes; provide knee clearance; lower paper towel dispenser; lower mirror,,Critical,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_35.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_36.jpg,,FALSE
27,7/13/16 16:58,9/29/16 6:52,Sara B. Maier,7/13/16 0:00,Brecksville Reservation,Brecksville Nature Center,Brecksville Nature Center Romtec Restrooms,1,Bathroom,Men’s Restroom,41.318431,-81.616203,"Braille gender sign not posted next to restroom entranceway (703.4.1); The pavement around the entranceway is not enough to turn (about 36”)(304.3.2); Toilet C/L is 19” from the side wall (604.2); TP dispenser is <12” above the side grab bar (609); Urinal rim depth is too shallow at 8” (605.2); Urinal is placed within the clear floor space requirement for the toilet (605, 604.3.1); Grab bar is not at a 90 degree angle due to configuration of Romtec (604.5.1, 604.5.2); Coat hook is too high at 61” aff (604.9); Wooden entranceway into Romtec door is only 75.5” aff (307.4) ","Move or add another Braille sign; Add or modify pavement; Move toilet; Move TP dispenser; Replace or remove urinal (it is in the clear floor space); Move or remove urinal; Due to the design of the Romtec’s walls, not sure if this requirement can feasibly be met; Move coat hook; Open up entranceway ",,Unassigned,https://my.cmparks.net/getattachment/Departments/Planning-Design/ADA-Reports/IMG_0098-(1).JPG,https://my.cmparks.net/getattachment/Departments/Planning-Design/ADA-Reports/IMG_0095-(1).JPG,https://my.cmparks.net/getattachment/Departments/Planning-Design/ADA-Reports/IMG_0096.JPG,TRUE
27,7/13/16 16:58,9/29/16 6:52,Sara B. Maier,7/13/16 0:00,Brecksville Reservation,Brecksville Nature Center,Brecksville Nature Center Romtec Restrooms,2,Bathroom,Women’s Restroom,41.318435,-81.616214,"Braille gender sign not posted next to restroom entranceway (703.4.1); Toilet C/L is 19” from the side wall (604.2); TP dispenser is <12” above the side grab bar (609); Grab bar is not at a 90 degree angle due to configuration of Romtec (604.5.1, 604.5.2); Coat hook is too high at 61” aff (604.9); Wooden entranceway into Romtec door is only 75.5” aff (307.4) ","Move or add another Braille sign; Move toilet; Move TP dispenser; Due to the design of the Romtec’s walls, not sure if this requirement can feasibly be met; Move coat hook; Open up entranceway ",,Unassigned,https://my.cmparks.net/getattachment/Departments/Planning-Design/ADA-Reports/IMG_0101-(1).JPG,,,TRUE
35,7/15/16 11:04,7/15/16 11:09,Steve V. Mather,7/13/16 0:00,Mill Stream Run Reservation,Music Mound Picnic Area,Music Mound Mens Restrooms,1,Parking,Parking,41.363274,-81.854619,"No sign ISA & ""van accessible"" (502.6); cross slope exceeds 2% (5.2.4)","Add sign; level, regrade or relocate",,Unassigned,,,,FALSE
35,7/15/16 11:04,7/15/16 11:09,Steve V. Mather,7/13/16 0:00,Mill Stream Run Reservation,Music Mound Picnic Area,Music Mound Mens Restrooms,2,Bathroom,unisex bathroom,41.363097,-81.854603,"signage present but not on accessible route (703); opening force >5 lbs (404); hand sanitizer mounted above 48"" max",relocate or add additional signage on accessible route; adjust tension on door; relocate hand sanitizer,,Unassigned,,,,FALSE
36,7/15/16 11:12,7/15/16 12:00,Steve V. Mather,7/13/16 0:00,Mill Stream Run Reservation,Wallace Lake Picnic Area,Wallace Lake Bathhouse and Concession Building,1,Parking,Parking,41.360995,-81.858648,missing van sign (502.6); missing two accessible parking signs 502.6; cross slopes exceeding 2% (5.2.4);,add van sign; add two missing accessible parking signs; level site;,,Unassigned,,,,FALSE
37,7/15/16 12:34,7/15/16 13:04,Steve V. Mather,7/13/16 0:00,Mill Stream Run Reservation,South Quarry Picnic Area,South Quarry Picnic Area Romtec Restrooms,1,Parking,Parking,41.354794,-81.854635,missing accessibility signs (502.6); cross slope exceeds 2% (5.2.4);,add signs; level spot,,Unassigned,,,,FALSE
37,7/15/16 12:34,7/15/16 13:04,Steve V. Mather,7/13/16 0:00,Mill Stream Run Reservation,South Quarry Picnic Area,South Quarry Picnic Area Romtec Restrooms,3,Bathroom,South Quarry Romtec,41.354806,-81.854593,"no tactile signs; grab bars >1.5"" off wall (604.5); rear grab bar angles; toilet paper not 7-9"" in front of toilet + too close to grab bar(604.7)",add tactile signs; replace grab bars; replace facility; move toilet paper,,Unassigned,,,,FALSE
38,7/15/16 13:09,7/15/16 13:14,Steve V. Mather,7/15/16 0:00,Mill Stream Run Reservation,William Green Picnic Area,William Green Lodge Reserved Picnic Shelter,1,Parking,Parking,41.354996,-81.849555,"missing van signs; cross slope >2%; signs <60"" minimum height",add van signs; move spot or fix; raise signs,,Unassigned,,,,FALSE
40,7/15/16 13:22,7/15/16 13:22,Steve V. Mather,7/13/16 0:00,Mill Stream Run Reservation,William Green Picnic Area,William Green Romtec Restrooms,1,Bathroom,Bathroom,41.355338,-81.849706,"signage (703); lack of 18-inch clearance from inside of jam (404.2.3); angled grab bar; toilet paper dispenser >7"" from toilet (604.7);",replace signage;  move or remove fencing / rail next to door; replace bathroom unit; move toilet paper dispenser;,,Unassigned,,,,FALSE
41,7/18/16 10:10,7/18/16 12:10,Kelly B. Coffman,7/18/16 0:00,North Chagrin Reservation,North Chagrin Nature Center,Nature Education Building,4,Bathroom,men's ,41.444942,-81.716354,"sign on door; door 7# pressure; changing table latch too high; dryer protrudes 7""; no insulation on pipes; water flows 4 sec; side grab bar too short; tp in wrong place; urinal too high","move to side at 48-60"" ht and provide clear floor space; adjust to 5# pressure; add longer strap to meet 48"" reach; replace dryer with 4"" th unit; insulate pipes; adjust flow to 10 sec; replace side grab bar to meet 54"" length; tp move so middle is 7"" in front of toilet and bottom is 12"" above grab bar; lower urinal to 17"" aff",,Unassigned,,,,FALSE
55,7/20/16 14:21,8/5/16 8:30,Steve V. Mather,7/20/16 0:00,Mill Stream Run Reservation,Bonnie Park Picnic Area,Bonnie Park Picnic Shelter,4,Other,"Parking, east lot",41.332491,-81.832427,"No van sign, cross slope >2% near curb stops","Add sign, regrade when repaving ",null,Unassigned,,,,FALSE
41,7/18/16 10:10,7/18/16 12:10,Kelly B. Coffman,7/18/16 0:00,North Chagrin Reservation,North Chagrin Nature Center,Nature Education Building,5,Bathroom,Women's ,41.444942,-81.716352,"sign on door; door at 7#; dryer protrudes 7""; door swing of accessible stall impacts aisle; changing table impacts stall clearances; side grab bar too short; tp in wrong place; sink flow 4 sec","move sign to side 48-60"" aff and provide clear space (703); adjust door to 5# (404); change out dryer to 4"" th unit; switch door swing direction; move changing table to hall; provide longer side grab bar to meet 54"" req.; move tp 7"" in front of stall to center and 12"" above grab bar; adjust flow to 10 sec",,Moderate,,,,FALSE
42,7/18/16 14:12,7/18/16 14:12,Kelly B. Coffman,7/18/16 0:00,North Chagrin Reservation,River Grove Picnic Area,Oak Leaf Reserved Picnic Shelter,1,Parking,Parking along west side,41.444785,-81.715204,58 total 6 ada; 4 north @ enclosed shelters - one missing sign; all signs low; most slopes @4.7%; 2 spots @ Oak shelter @ 3.6%;,north spots add sign; adjust height of all signs; hold grade at southern edge and raised accessible spots to attain 2% max slope and repaint markings; north spots remove and replace pavement to meet 2% slopes - restripe,,Minor,,,,FALSE
43,7/18/16 14:31,7/18/16 14:31,Kelly B. Coffman,7/18/16 0:00,North Chagrin Reservation,River Grove Picnic Area,River Grove Romtec Restrooms,1,Bathroom,Route and Restroom,41.444942,-81.716354,warped concrete and no maneuver space; signage wrong and railings limit movement; structure is aging out,remove and replace concrete to fix slopes; short term remove rails and add compliant signs; replace with cxt,,Unassigned,,,,FALSE
44,7/18/16 15:15,7/18/16 15:38,Kelly B. Coffman,7/18/16 0:00,North Chagrin Reservation,River Grove Picnic Area,Buckeye Enclosed Reserved Picnic Shelter,1,Parking,Chestnut Parking Lot,41.574102,-81.421482,signs too low; 3.4% cross slope; walkway does not meet van aisle; missing 2 signs; westernmost spot needs striped aisle,raise bottom of signs to 60%; repave asphalt to meet compliance;  add walkway to van aisle; add 1 standard sign and 1 van sign; stripe aisle for westernmost accessible space,,Minor,,,,FALSE
47,7/18/16 16:19,7/19/16 15:36,Jesse E. Schook,7/18/16 0:00,Bradley Woods Reservation,Codrington Shelterhouse Picnic Area,Codrington Romtec Restrooms,1,Parking,Parking Lot Signage,41.41861,-81.952724,"ADA Parking Signs  are lower than 60"" above parking surface; signs don't list van accessible (502.6)",Raise sign,,Minor,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_0114-1.JPG,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_0129-1_1.JPG,,TRUE
47,7/18/16 16:19,7/19/16 15:36,Jesse E. Schook,7/18/16 0:00,Bradley Woods Reservation,Codrington Shelterhouse Picnic Area,Codrington Romtec Restrooms,3,Bathroom,Bathroom Signage,41.418538,-81.952128,"Signage shoule be posted on latch side of door (703); signage needs braille (703); braille should be between 48"" - 60"" A.F.F. (703)","Post signage to latch side of door with braille between 48"" and 60"" A.F.F.",,Minor,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_0133-1_1.JPG,,,TRUE
49,7/19/16 14:41,7/20/16 13:46,Jesse E. Schook,7/19/16 0:00,Bradley Woods Reservation,Codrington Shelterhouse Picnic Area,Codrington Picnic Shelter,4,Parking,ADA Parking,41.418498,-81.952761,"Signage not 60"" AFF (502); no van accessible signage provided (502.6)","Raise sign to 60"" AFF, add van accessible signage",,Minor,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_0115-1.JPG,,,TRUE
50,7/20/16 9:45,9/26/16 13:35,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Look-about-Lodge,Look-About-Lodge,1,Other,Building,41.444792,-81.716934,"door doesnt have closer (404.2.8.1, 404.2.8.2); entry, side doors,  and interior doorknobs not fist operable (404.2.7); inside threshold 3/4"" (404.2.5); bathroom 39.5""x78""  not accessible (604.3.1); kitchen and upstairs not accessible; screened porch and emergency exits have 4.5"" step (303.3); porch doors and south emergency exit have non - compliant thresholds (404.2.5); emergency exit needs compliant hardware/signage (404.2.7, 703); stairways and mantels are protruding objects (307.4)","add closer mechanism; replace knobs with accessible hardware; reduce interior threshold to 1/4"" with sloped transition; remodel to provide ada restroom utilizing adjacent  storage space; kitchen and upstairs employee use only no change currently required; build new accessible ramp using southernmost door or window; fix thresholds at all doorways to attain less than 1/4""; add push hardware @  emergency exit; protect protruding objects with railings or low screen",,Moderate,,,,FALSE
50,7/20/16 9:45,9/26/16 13:35,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Look-about-Lodge,Look-About-Lodge,2,Other,Accessible Routes,41.423546,-81.421625,"Entry to lodge is at 8% (403.3, 404.2.4.1, 405.8); side of ramp has non-compliant warp(403.3, 406.3); sign along walk does not provide leg clearance (306.3); eave at porch is @60"" (307.4); openings @ grate to east of kitchen door too large (302.3); drinking fountain meets standing ht but pavement issue and no ada basin (602.2, 602.4, 305.2); wildlife trash receptacle not accessible (305.3, 404.2.7)","add railings both side; either sawcut and remove or add planters to block access to area; verify if side access to sign is sufficient;  protect from protruding object with railing; replace grate; fix pavement, add accessible fountain and pavement or replace with dual basin; replace wildlife trash receptacle",,Minor,,,,FALSE
50,7/20/16 9:45,9/26/16 13:35,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Look-about-Lodge,Look-About-Lodge,3,Parking,LAL Parking,41.422875,-81.422747,30 spaces incl one ADA need to add van (208.2.4); no signs (502.6),restripe space closest to lodge to add van accessible; add signage,,Moderate,,,,FALSE
51,7/20/16 10:44,9/26/16 13:05,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Look-about-Lodge,Look-About-Lodge Romtec Restrooms,1,Bathroom,LAL Romtec,41.444829,-81.71611,"porch side beams @ 76.5"" (307.4); no signage (703.4.1, 703.4.2, 703.2); inaccessible metal waste receptacle (308.3.2); non-compliant grab bars (604.51, 604.5.2, 609); structure floors @3.9% at doors within required turning radius (305.2)",switch front decorative railings to sides; add compliant signs; replace with compliant trash can; grab bars can't currently be made compliant due to angles of walls / distance from walls; floors cant be brought into compliance and overall issues with structure = REPLACE,,Serious,,,,FALSE
52,7/20/16 11:28,9/26/16 14:05,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Polo Fields,Polo Field South Picnic Shelter,1,Bathroom,Romtec,41.444942,-81.716354,"sidewalk @ 8.1% (403.3, 405.2, 405.8); signage only on doors (703.4.2); door closes too rapidly (404.2.8.1, 404.2.8.2); tp dispensers too low and close to toilet (604.7); side rails both too close to back wall (604.5.1. 604.5.2, 609);","remove center access and replace with wider walk on each end; add signage to be visible from parking and next to restroom doors; change pins to close slower; relocate tp to 12"" above grab bar and 7-9"" in front of toilet to center; shift bar so 12"" from rear wall to attain overall lenght of 54"";",,Minor,,,,FALSE
52,7/20/16 11:28,9/26/16 14:05,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Polo Fields,Polo Field South Picnic Shelter,2,Parking,Parking at Romtec,41.456929,-81.40976,no van sign (502.6),add van sign at proper height,,Minor,,,,FALSE
53,7/20/16 14:03,9/26/16 12:55,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Sulphur Springs Picnic Area,Sulphur Springs Reserved Picnic Shelter,1,Parking,Parking and Access Route,41.445139,-81.71633,2 ada signs too low (502.6); walk to shelter has 5% cross slope in places and 7% running slope (403.3); walk to portapotty has 3.7% cross slope (403.3),"raise to 60"" to bottom of walk; replace and reroute walk to shelter - may end up relocating ADA spaces and portapotty; replace portapotty walkway - consider new location or CXT",,Serious,,,,FALSE
55,7/20/16 14:21,8/5/16 8:30,Steve V. Mather,7/20/16 0:00,Mill Stream Run Reservation,Bonnie Park Picnic Area,Bonnie Park Picnic Shelter,3,Parking,Parking southern lot,41.332051,-81.833945,Missing van spot / sign,Add sign and fix striping,null,Unassigned,,,,FALSE
56,7/20/16 14:52,9/26/16 14:06,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,The Shelterhouse Picnic Area,The Shelterhouse Reserved Picnic Shelter,1,Parking,Parking,41.445421,-81.716341,"extra van spot and improperly marked van spot (502.2, 502.3); signs too low (502.6); sidewalk has gap (302.3)",designate one van spot as regular ADA spot and restripe other to have 8' spot and 8' island; connect sidewalk to cxt to sidewalk @ ADA parking,,Minor,,,,FALSE
58,7/20/16 15:47,9/26/16 12:04,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Squaw Rock Picnic Area,Squaw Rock Cookhouse Picnic Shelter,1,Parking,Shelter and Parking,41.44494,-81.716354,61 spaces and 3 ada incl van signs all too low (502.6); no accessible route to shelter (402),"raise signs; move one ada space from SE to SW corner of lot, regrade to attain 2%, add aisle and accessible route to shelter  and possibly to picnic tables / swings as part of recreation plan",,Serious,,,,FALSE
59,7/20/16 15:56,9/26/16 12:01,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Squaw Rock Picnic Area,Squaw Rock Romtec Restrooms,1,Bathroom,Squaw Rock Romtec,41.416349,-81.416215,"cross slopes on sidewalk 2.4% (403.3);Porch side beams too low (307.4); grab bars (604.5.5, 604.5.2, 609); signs on doors (703.4.1); waste receptacles not on path (1011.2.2, 1011.2.3);nearest ADA stall 6% cross slope (502.4)",fix cross slope when walk is replaced;  remove railing at front and relocate to sides to block beams; add compliant signs to sides of doorways; move receptacles to within reach of pavement; fix cross slope when parking is repaved,,Minor,,,,FALSE
61,7/20/16 16:19,9/26/16 11:49,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Harper Ridge Picnic Area,Harper Ridge Reserved Picnic Shelter,1,Parking,parking and access routes,41.41634,-81.416215,"sign too low (502.6); aisle running grade 2.8% (502.4); path to shelter at 5.6% exceeds running grade (403.3); threshold at shelter exceeds 1/2"" (303.3)","raise bottom of sign to 60""; adjust slope of aisle when repaving occurs; replace and reroute path; meet shelter with new path flush;",,Unassigned,,,,FALSE
63,7/20/16 16:51,9/26/16 11:39,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Shadow Lake Picnic Area,Shadow Lake Picnic Area Romtec Restrooms,1,Bathroom,Romtec,41.441841,-81.707645,"Signs on doors (703.4.1, 703.4.2, 703.2); grab bars (604.5.1, 604.5.2, 609); tp dispenser not compliant (604.7); trash receptacle creates obstruction (305); brochure rack @ 55"" (308.2, 308.3)","add compliant signs on opening side of doors; possibly construct new wall and grab bars to achieve compliance; relocate tp; move trash receptacle to side of slab; lower brochure racks to 44"" to allow lifting of materials",,Moderate,,,,FALSE
63,7/20/16 16:51,9/26/16 11:39,Kelly B. Coffman,7/20/16 0:00,South Chagrin Reservation,Shadow Lake Picnic Area,Shadow Lake Picnic Area Romtec Restrooms,2,Parking,Ada parking,41.382218,-81.481819,"easternmost space is at 5% running grade, crossslope ok (403.3); asphalt path running grade ok, cross slope 2.7% (403.3); signs all low (502.6)","repave last space to meet 2% in all directions; repave path and reduce cross slope to 2%; raise signs to 60""",,Minor,,,,FALSE
64,7/20/16 17:22,9/26/16 12:47,Sean E. McDermott,7/20/16 0:00,Rocky River Reservation,Lagoon Picnic Area,Lagoon Romtec Restrooms,1,Bathroom,Romtek restrooms,41.400614,-81.886522,"No signage (703); Inadequate circulation within stalls (604), Slab has 2"" elevation difference from accesible path (303.2); Dispensers too close to grab bars (609.3)","Add signage, temporary; Replace with accessible CXT; Correct grade change; Reinstall dispensers",,Moderate,,,,FALSE
68,7/21/16 12:08,7/21/16 12:12,Kelly B. Coffman,7/21/16 0:00,North Chagrin Reservation,A B Williams Woods,A B Williams Sheltered Overlook,1,Parking,PARKING and Accessible Route to Shelter,41.561333,-81.430345,126 spots incl 5 ada and 1 van compies but signs too low; trash receptacles too far from path ,"raise signs to 60""; move trash adjacent to path within reach range; consider adding asphalt to NCNC & Shelter ",,Minor,,,,FALSE
69,7/21/16 14:22,9/9/16 8:12,Kelly B. Coffman,7/21/16 0:00,Euclid Creek Reservation,Wildwood Park,Wildwood Marina Restroom Building,5,Bathroom,Women's Restroom,41.587282,-81.563297,"ramp at 7.5% and single 5"" step to east; sign above door; threshold exceeds 1/2""; dryer 50"" to button and protrudes 8""; mirrors 48"" to bottom; sink drains not insulated; faucets not metered; 9'3""x 44.5"" handicapped stall with 2 side bars no rear bar;","add railing and handrail all along eaat side OR REDESIGN as part of plaza rework and bring in grade flush; add compliant sign to right of doorway; replace with compliant threshold;  replace dryer with 4"" wide unit at 48"" ht.; mirrors remount 40""; insulate sink drain pipes; replace with metered faucets; remove block partition wall and reconfigure",,Serious,,,,FALSE
70,7/21/16 16:51,9/29/16 6:52,Sara B. Maier,7/13/16 0:00,Brecksville Reservation,Brecksville Nature Center,Brecksville Nature Center,1,Parking,parking for Nature Center is counted as everything south of Chippewa Creek Dr.,41.31906,-81.615795,Insufficient number of ADA spots (208); Only 1 of the 3 spots has an ADA parking sign (502.6); No van spot identified (208.2.4),Add 1 ADA spot; Add ADA parking signs; Sign 1 spot as ADA van accessible ,Counting the parking lot as those spaces south of Chippewa Creek Parkway with 83 total parking spaces (28 east (2 ADA) and 55 west (1 ADA)).,Unassigned,,,,TRUE
